2021-04-07 16:15:07 DEBUG ClientService:13 - Client{id=0, name='Maria', email='maria@mail.com', phone=380919229123, about='new client Maria', age=20}
2021-04-07 16:15:07 DEBUG ClientDao:14 - Client{id=0, name='Maria', email='maria@mail.com', phone=380919229123, about='new client Maria', age=20}
2021-04-07 16:15:07 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-04-07 16:15:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-04-07 16:15:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-04-07 16:15:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-04-07 16:15:07 INFO  Version:44 - HHH000412: Hibernate ORM core version 5.4.29.Final
2021-04-07 16:15:07 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2021-04-07 16:15:07 DEBUG LocalXmlResourceResolver:63 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2021-04-07 16:15:07 DEBUG LocalXmlResourceResolver:91 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2021-04-07 16:15:07 DEBUG JaxbCfgProcessor:117 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2021-04-07 16:15:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-04-07 16:15:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-04-07 16:15:07 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-04-07 16:15:07 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2021-04-07 16:15:07 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2021-04-07 16:15:07 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2021-04-07 16:15:07 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2021-04-07 16:15:07 INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@75ed9710
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@75ed9710
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@75ed9710
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@79da1ec0
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@62ea3440
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration yes_no -> org.hibernate.type.YesNoType@55b5f5d2
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@4a3329b9
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@4a3329b9
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4a3329b9
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration character -> org.hibernate.type.CharacterType@3f053c80
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration char -> org.hibernate.type.CharacterType@3f053c80
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@3f053c80
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@3b956878
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@3b956878
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3b956878
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration integer -> org.hibernate.type.IntegerType@388ba540
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration int -> org.hibernate.type.IntegerType@388ba540
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@388ba540
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@7be58f16
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@7be58f16
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7be58f16
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@1b065145
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@1b065145
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@1b065145
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@56c9bbd8
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@56c9bbd8
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@56c9bbd8
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@619bfe29
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@619bfe29
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@30f5a68a
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@30f5a68a
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration string -> org.hibernate.type.StringType@4c37b5b
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.String -> org.hibernate.type.StringType@4c37b5b
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@150ab4ed
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7a8fa663
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration url -> org.hibernate.type.UrlType@485a3466
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@485a3466
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration Duration -> org.hibernate.type.DurationType@c260bdc
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@c260bdc
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration Instant -> org.hibernate.type.InstantType@72445aba
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@72445aba
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@56276db8
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@56276db8
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@20b5f2ac
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@20b5f2ac
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@47dbb1e2
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@47dbb1e2
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@773f7880
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@773f7880
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@773cbf4f
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@773cbf4f
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1bc715b8
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1bc715b8
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration date -> org.hibernate.type.DateType@376a312c
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@376a312c
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration time -> org.hibernate.type.TimeType@77602954
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@77602954
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration timestamp -> org.hibernate.type.TimestampType@2cac4385
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2cac4385
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2cac4385
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@34a1d21f
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration calendar -> org.hibernate.type.CalendarType@4e517165
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@4e517165
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@4e517165
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@42f3156d
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@65aa6596
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration locale -> org.hibernate.type.LocaleType@1ce61929
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@1ce61929
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration currency -> org.hibernate.type.CurrencyType@39dcf4b0
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@39dcf4b0
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4c6daf0
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4c6daf0
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration class -> org.hibernate.type.ClassType@1cd201a8
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@1cd201a8
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@19fe4644
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@19fe4644
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@18245eb0
2021-04-07 16:15:07 DEBUG BasicTypeRegistry:157 - Adding type registration binary -> org.hibernate.type.BinaryType@7a48e6e2
